SFR	SD_GAS
0.00264	4.398
0.00782	7.067
0.002267	6.901
0.003364	11.57
0.001602	3.534
0.003138	9.353
0.001531	7.746
0.003501	11.21
0.008517	7.525
0.006677	13.95
0.003824	11.7
0.002471	11.15
0.002084	3.955
0.001832	3.882
0.002428	3.114
0.01196	10.89
0.002522	3.616
0.005982	3.25
0.003897	4.389
0.006836	20.59
0.003988	4.37
0.003727	4.034
0.1027	70.07
0.01299	14.67
0.06152	84.53
0.01354	28.09
0.004586	5.511
0.005557	8.62
0.01046	19.0
0.00613	5.779
0.01067	13.11
0.006556	10.02
0.004498	3.939
0.007478	5.243
0.009118	11.73
0.006556	9.081
0.003984	8.797
0.00732	8.411
0.01013	16.38
0.008473	6.154
0.006152	9.67
0.005627	3.866
0.004499	7.41
0.002239	4.083
0.003141	5.689
0.005055	6.763
0.002115	3.286
0.01897	14.27
0.004429	5.384
0.004267	4.976
0.004128	7.131
0.005403	4.04
0.003893	6.026
0.005375	6.7
0.003964	3.064
0.003029	4.341
0.003127	3.499
0.005285	5.993
0.001916	2.994
0.001291	3.604
0.001478	1.971
0.001974	3.417
0.001528	3.841
0.001591	2.733
0.00151	2.563
0.007518	3.838
0.0008683	2.166
0.001267	2.467
0.001799	3.212
0.001328	1.984
0.002571	3.308
0.0805	72.97
0.007385	8.93
0.007729	7.086
0.007761	7.84
0.006519	10.78
0.006248	5.565
0.0059	10.08
0.001962	4.295
0.002021	4.024
0.001419	3.858
0.001734	4.588
0.001768	5.569
0.001503	4.026
0.002107	7.691
0.002241	6.45
0.002087	7.34
0.001846	5.395
0.001885	4.669
0.001235	2.582
0.002308	7.699
0.002195	7.02
0.001333	5.094
0.001426	4.384
0.001604	3.981
0.0009165	3.759
0.001028	2.974
0.001077	3.988
0.0008988	2.281
0.0008951	3.452
0.0009059	3.243
0.001547	3.619
0.002012	4.029
0.008256	15.83
0.004026	7.492
0.004876	8.941
0.002519	4.926
0.001861	5.225
0.002394	4.166
0.004582	5.536
0.002309	4.002
0.004974	7.286
0.002491	6.774
0.001718	1.822
0.003271	6.08
0.001639	5.195
0.001031	2.065
0.002757	4.025
0.0008965	0.4467
0.001321	1.962
0.001487	2.256
0.001632	1.748
0.002539	2.255
0.0007323	0.7933
0.001893	1.082
0.001528	2.619
0.001591	0.7034
0.0006668	1.156
0.001166	1.478
0.0009754	0.2862
0.0008222	0.3749
0.0005757	0.3876
0.01454	27.47
0.009318	16.44
0.007106	15.72
0.008906	17.94
0.007649	15.58
0.01097	15.85
0.008901	15.68
0.003192	6.987
0.004026	6.964
0.005933	8.586
0.003332	6.748
0.002063	3.473
0.003156	4.32
0.003265	4.736
0.04159	25.81
0.01062	9.082
0.009124	8.405
0.008341	4.267
0.00761	4.638
0.006486	4.601
0.006572	0.14
0.02131	102.2
0.01051	37.74
0.01523	53.97
0.009249	24.7
0.01107	30.15
0.01627	30.04
0.02611	36.92
0.00787	30.21
0.006895	24.22
0.04558	89.21
0.05296	89.15
0.04592	54.63
0.01463	19.93
0.003463	16.53
0.006869	16.09
0.01064	49.72
0.02009	50.64
0.003908	11.29
0.0123	27.56
0.006805	25.0
0.00642	19.79
0.01795	23.99
0.009228	16.84
0.01204	14.5
0.003255	10.55
0.005525	20.75
0.02192	42.29
0.002195	5.882
0.03436	25.31
0.006338	25.06
0.008952	19.16
0.00399	21.41
0.003941	18.3
0.008816	19.25
0.002406	12.3
0.004705	21.69
0.004272	18.5
0.01262	18.94
0.001569	9.06
0.007634	16.13
0.006333	19.18
0.001609	7.267
0.005198	20.71
0.003187	5.028
0.001246	1.983
0.01185	20.55
0.0007374	6.332
0.001338	8.154
0.002828	10.85
0.004477	17.74
0.001272	6.224
0.006064	25.17
0.002766	9.456
0.04388	106.8
0.03014	90.68
0.03592	96.99
0.03474	86.44
0.02272	76.61
0.02992	74.39
0.02214	77.07
0.02078	47.81
0.02011	65.63
0.0253	66.22
0.02061	49.81
0.02726	61.44
0.01443	60.79
0.02638	50.99
0.0175	37.15
0.01291	39.8
0.01488	51.84
0.01914	43.42
0.008603	37.4
0.01146	37.87
0.004101	20.71
0.01564	46.19
0.02093	44.99
0.01855	36.19
0.00436	16.82
0.01615	43.33
0.007061	31.58
0.01238	30.31
0.008301	25.8
0.003236	14.11
0.01518	26.54
0.008835	27.43
0.01616	39.26
0.01375	30.77
0.007872	27.0
0.01435	34.41
0.008861	30.96
0.003253	13.71
0.002443	13.59
0.004079	9.414
0.01201	29.2
0.01257	26.85
0.01589	35.02
0.007303	18.11
0.003953	11.0
0.005172	20.67
0.002366	9.356
0.004477	18.61
0.007712	16.81
0.002527	5.469
0.002018	8.597
0.009577	16.7
0.004204	12.31
0.009136	21.66
0.002466	5.87
0.004909	13.96
0.005332	17.71
0.001841	6.349
0.003145	16.92
0.001255	1.74
0.002687	5.283
0.00241	8.101
0.002092	8.098
0.004012	12.02
0.008811	18.89
0.00523	15.53
0.003769	9.987
0.002948	11.66
0.002353	15.87
0.004507	18.49
0.000354	0.5098
0.003923	18.57
0.007124	23.38
0.002336	9.958
0.002147	8.417
0.003897	13.41
0.001762	9.069
0.002071	14.79
0.002663	20.92
0.0007954	1.704
0.002122	10.61
0.01669	58.69
0.001857	6.152
0.001168	9.364
0.001574	12.19
0.00178	10.45
0.000712	6.472
0.0007461	1.007
0.001181	4.333
0.001098	7.229
0.0008196	5.835
0.009532	27.83
0.00517	16.83
0.004707	21.13
0.005369	19.82
0.005069	19.54
0.003905	18.46
0.003887	12.02
0.003421	15.09
0.002952	16.51
0.002154	8.92
0.002582	13.66
0.002026	10.82
0.001735	8.032
0.001366	8.445
0.001889	12.44
0.001073	5.888
0.001318	9.112
0.002389	12.54
0.001261	10.07
0.09245	189.7
0.01615	70.94
0.01838	72.65
0.01942	36.48
0.01578	32.23
0.01409	42.4
0.01356	43.52
0.01449	22.87
0.01121	19.44
0.03805	66.0
0.03644	59.37
0.01718	38.18
0.008821	25.3
